wavelength (nm)   flux (photons/cm^2/s/nm) Solar Flux predicition from Claire et al, 2012 Computed for 2.70000 Ga and 1.00000 AU
     0.500000       11525401.
      1.50000       23049391.
      2.50000   2.8042059e+08
      3.50000   2.5492943e+08
      4.50000   4.5146439e+08
      5.50000   9.4414826e+08
      6.50000   9.8800120e+08
      7.50000   1.1912923e+09
      8.50000   8.1904341e+08
      9.50000   1.0226922e+09
      10.5000   3.9082143e+08
      11.5000   3.0537318e+08
      12.5000   2.0702984e+08
      13.5000   2.1479320e+08
      14.5000   7.2964736e+08
      15.5000   9.3650997e+08
      16.5000   1.3495434e+09
      17.5000   6.3162007e+09
      18.5000   3.3184537e+09
      19.5000   3.5863199e+09
      20.5000   1.8195837e+09
      21.5000   1.4681828e+09
      22.5000   2.1480155e+09
      23.5000   1.1206499e+09
      24.5000   2.9226422e+09
      25.5000   5.0034357e+09
      26.5000   1.7274149e+09
      27.5000   3.1375727e+09
      28.5000   7.5504365e+09
      29.5000   1.1675010e+09
      30.5000   3.2761802e+10
      31.5000   5.0915375e+09
      32.5000   7.2625592e+09
      33.5000   7.3187357e+09
      34.5000   3.2081270e+09
      35.5000   2.8272776e+09
      36.5000   8.2536260e+09
      37.5000   6.6151443e+08
      38.5000   2.8990943e+08
      39.5000   2.9432099e+08
      40.5000   5.0383866e+08
      41.5000   1.0084456e+09
      42.5000   2.5429472e+08
      43.5000   6.0403126e+08
      44.5000   2.4136942e+08
      45.5000   2.7491032e+08
      46.5000   1.0110997e+09
      47.5000   4.0829573e+08
      48.5000   6.9111074e+08
      49.5000   2.5000261e+09
      50.5000   1.0345210e+09
      51.5000   3.5992381e+08
      52.5000   6.4359587e+08
      53.5000   4.8118722e+08
      54.5000   3.1453765e+08
      55.5000   1.4278265e+09
      56.5000   4.4118243e+08
      57.5000   4.4531167e+08
      58.5000   2.5546732e+09
      59.5000   5.3980021e+08
      60.5000   2.2475061e+09
      61.5000   6.9158985e+08
      62.5000   3.0383185e+09
      63.5000   7.7789635e+08
      64.5000   1.7947307e+08
      65.5000   1.4328107e+08
      66.5000   1.2837153e+08
      67.5000   1.3306866e+08
      68.5000   4.6374006e+08
      69.5000   3.4743701e+08
      70.5000   9.1666529e+08
      71.5000   4.0546221e+08
      72.5000   3.0897762e+08
      73.5000   4.0627196e+08
      74.5000   5.0516346e+08
      75.5000   7.7595751e+08
      76.5000   1.9727610e+09
      77.5000   1.8333717e+09
      78.5000   2.5759424e+09
      79.5000   1.2137178e+09
      80.5000   1.2670322e+09
      81.5000   1.4509853e+09
      82.5000   2.1609323e+09
      83.5000   3.6925578e+09
      84.5000   2.7238911e+09
      85.5000   3.0552607e+09
      86.5000   3.2620159e+09
      87.5000   3.9097378e+09
      88.5000   4.4991379e+09
      89.5000   5.5091308e+09
      90.5000   6.5308398e+09
      91.5000   5.0242457e+09
      92.5000   1.8052389e+09
      93.5000   1.5898235e+09
      94.5000   1.1405924e+09
      95.5000   6.6033397e+08
      96.5000   6.9069764e+08
      97.5000   1.3971855e+10
      98.5000   1.4228970e+09
      99.5000   2.2076404e+09
      100.500   8.9920008e+08
      101.500   1.0447759e+09
      102.500   1.5718919e+10
      103.500   1.3447017e+10
      104.500   1.4644073e+09
      105.500   1.2460997e+09
      106.500   1.1921058e+09
      107.500   1.2712070e+09
      108.500   2.1423746e+09
      109.500   1.4482661e+09
      110.500   1.5513776e+09
      111.500   1.4140449e+09
      112.500   1.5683222e+09
      113.500   1.2136874e+09
      114.500   8.2468264e+08
      115.500   1.3605581e+09
      116.500   1.5445404e+09
      117.500   9.5437974e+09
      118.500   1.7523545e+09
      119.500   5.8973698e+09
      119.750   5.7014786e+09
      119.800   5.9585051e+09
      119.850   6.2720493e+09
      119.900   6.5637671e+09
      119.950   6.7448024e+09
      120.000   6.7450481e+09
      120.050   6.5644000e+09
      120.100   6.2487703e+09
      120.150   5.8985008e+09
      120.200   5.6171466e+09
      120.250   5.5470605e+09
      120.300   6.2200443e+09
      120.350   8.6634484e+09
      120.400   1.3778716e+10
      120.450   2.1687793e+10
      120.500   4.2305091e+10
      120.550   5.4797879e+10
      120.600   6.3023222e+10
      120.650   6.4221642e+10
      120.700   5.7918101e+10
      120.750   3.4481977e+10
      120.800   2.7804957e+10
      120.850   1.9082443e+10
      120.900   1.3350456e+10
      120.950   1.0939347e+10
      121.000   1.1091556e+10
      121.050   1.2785339e+10
      121.100   1.6142483e+10
      121.150   2.5719878e+10
      121.200   6.4343701e+10
      121.250   1.9332050e+11
      121.300   4.9428384e+11
      121.350   1.0030867e+12
      121.400   1.6742502e+12
      121.450   2.3881021e+12
      121.500   2.9589161e+12
      121.550   3.1937672e+12
      121.600   3.0139406e+12
      121.650   2.4890726e+12
      121.700   1.7953483e+12
      121.750   1.1159134e+12
      121.800   5.8715745e+11
      121.850   2.6102697e+11
      121.900   1.0625779e+11
      121.950   4.9118965e+10
      122.000   2.9019158e+10
      122.050   1.9999168e+10
      122.100   1.4785499e+10
      122.150   1.1695892e+10
      122.200   9.7934322e+09
      122.250   8.5027069e+09
      122.300   7.5623593e+09
      122.350   6.8505308e+09
      122.400   6.2933948e+09
      122.450   5.2478034e+09
      122.500   4.9395779e+09
      122.550   4.7146178e+09
      122.600   4.5666351e+09
      122.650   4.4724444e+09
      122.700   4.4067306e+09
      122.750   4.3504977e+09
